key,section,node,order,speaker,translation
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,Pekala lisanslı bir ejder yıkayıcısısın öyle mi?
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,Hıhı!
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,İşe başladığım yalnızca birkaç hafta oldu!
9b9024cada67653e,L01 Ryan,Ryan_1_required,4,Ryan,Oh öyle mi!
fbd8fe3b49aed7c5,L01 Ryan,Ryan_1_required,5,Ryan,Ben de genelde işte evdeki hortumla idare ediyordum...
3f742efbf9edb2ee,L01 Ryan,Ryan_1_required,6,Ryan,Oh ikimiz de çömeziz idesene!
e6c276d67e994ed5,L01 Ryan,Ryan_1_required,7,Ryan,"Aslında, bunun ne kadar da iyi hissettirdiğine şaşırdım doğrusu."
e99ba1a86146f1aa,L01 Ryan,Ryan_1_required,8,Ryan,Hayatın tüm o koşuşturmacası içerisinde hoş bir kaçış yolu.
line:decf872a,L01 Ryan,Ryan_1_required,9,Ryan,...
# --- nag: Ryan_1_nag ---
c2aa03c999eb7731,L01 Ryan,Ryan_1_nag,1,Ryan,Hey!
5b798fca0ab51d6c,L01 Ryan,Ryan_1_nag,2,Ryan,Seni görebileceğim bir yere çıkarsan bir şey söyleyeceğim sana.
# --- jerkoff: ryan_jerk_off_no ---
2e75bb6a3610c11b,L01 Ryan,ryan_jerk_off_no,1,Ryan,Heyy- Belki o ellerini başka zaman 'üzerime koyarsın'?
# --- mount_start: ryan_mount_no ---
91c3bf04fb99ce8b,L01 Ryan,ryan_mount_no,1,Ryan,"Hm, sanırım bineği kullanmak istemiyorum."
# --- outro: Ryan_1_Outro ---
0d26aa953ca02c41,L01 Ryan,Ryan_1_Outro,1,Ryan,Eminim tertemiz olmuşumdur!
699cdec6a62f5ff3,L01 Ryan,Ryan_1_Outro,2,Ryan,Hortumla yıkanmaktan çok daha hoştu.
c3bbf19f280c6dde,L01 Ryan,Ryan_1_Outro,3,Kobold,Rica ederim.
66984a1e53d3e869,L01 Ryan,Ryan_1_Outro,4,Kobold,Mhm! Yine bekleriz.
d629b0ed3f97727c,L01 Ryan,Ryan_1_Outro,6,Ryan,Bu mekanı başkalarına da tanıtacağım
e12cf68db48908a3,L01 Ryan,Ryan_1_Outro,7,Ryan,Kesinlikle burayı unutmayacağım.
29a9062b9b45c6ef,L01 Ryan,Ryan_1_Outro,8,Ryan,Haha. Asıl sana 'İvit!'.
0712e97652e51758,L01 Ryan,Ryan_1_Outro,9,Ryan,"Neyse, iyi vakit geçirdim, görüşmek üzere!"
17f93a33eafe382c,L01 Ryan,Ryan_1_Outro,10,Ryan,Çıkmam için bariyeri açabilir misin?
1aa7b1c1d5fb1fd6,L01 Ryan,Ryan_1_Outro,12,Ryan/Conrad/Kobold/Dragon,Sağ ol!
line:b588bf4c,L01 Ryan,Ryan_1_Outro,12,Ryan,Teşekkürler!

# ===== Level 2: Conrad (Sunny) =====
# --- intro: Conrad_Intro_1 ---
d391aece578e396f,L02 Conrad,Conrad_Intro_1,1,Conrad,"<gradient=""yellow - orange""><size=140%>HEY! </gradient><size=100%>Yıkanma yeri burası, değil mi?"
e2b71fbe0e3a8220,L02 Conrad,Conrad_Intro_1,2,Conrad,Pürüssüz olmalıyım. Senin işin de tam olarak bu herhalde. <size=70%> Doğru mu?
198e07bd20a7e40b,L02 Conrad,Conrad_Intro_1,3,Kobold,"Mhm, bu taraftan."
d474060b980dd4bb,L02 Conrad,Conrad_Intro_1,4,Kobold,Şöyle buyrun.
6c70580a9b88273d,L02 Conrad,Conrad_Intro_1,5,Conrad,Hoş. Bariyeri açman lazım tabii. Conrad'i içeri al!
# --- progress: Conrad_required_1 ---
87e002767e44df8e,L02 Conrad,Conrad_required_1,1,Conrad,Şe<size=90%>e<size=80%>e<size=70%>e<size=60%>y... <size=100%>Merak ediyordum da
2d6d31d664759240,L02 Conrad,Conrad_required_1,2,Conrad,"Burası <i>mutlu sonla</i> biten mekanlardan, değil mi?"
906e9b3e20a54dc2,L02 Conrad,Conrad_required_1,3,Kobold,Buradaki tüm sonlar mutlu biter!
c41cb150dfd261d8,L02 Conrad,Conrad_required_1,4,Kobold,Yani... cinsel şeyler mi?
0c503978e6cd3a78,L02 Conrad,Conrad_required_1,5,Conrad,Aaa... Kastım aslında-
c9ce0c4dd28236fa,L02 Conrad,Conrad_required_1,6,Conrad,"Benim gibi, <size=60%>büyük ejderleri<size=100%> de boşaltıyor musunuz burada?"
daac14e0bc00f0ad,L02 Conrad,Conrad_required_1,7,Kobold,Ha- Ne- <size=80%>oha. <size=60%>biz şey-
824dda92c5ffbad9,L02 Conrad,Conrad_required_1,8,Kobold,"Oh, hayır."
33cb9fb42cd6a080,L02 Conrad,Conrad_required_1,9,Conrad,Ne!? bu olamaz! Bineğiniz bile yok mu sizin...?
96b0e7561e23fcbb,L02 Conrad,Conrad_required_1,10,Kobold,aaa... <size=60%>hayır?
175ccc13192756d4,L02 Conrad,Conrad_required_1,11,Conrad,"O halde bir tane alsanız iyi olur!"
fcc67c51c62fb4e9,L02 Conrad,Conrad_required_1,12,Conrad,En azından hala ellerin iş görebilir. Heh.
a29919179016a4e8,L02 Conrad,Conrad_required_1,13,Conrad,Öyle mi? Binek bile görmüyorum ben buradan.
6ec80eb8deb5afd8,L02 Conrad,Conrad_required_1,14,Kobold,"Ya... ni, bizde ondan yok."
22706d3faee3b165,L02 Conrad,Conrad_required_1,15,Kobold,"Hayır, burada o tarz şeyler sunmuyoruz."
4a8d1297fbe8f246,L02 Conrad,Conrad_required_1,16,Conrad,Ah be yazık oldu. Bunu değiştirseniz iyi olur.
# --- jerkoff: Conrad_1_JerkOff_Start ---
6d4db2b6b39822b2,L02 Conrad,Conrad_1_JerkOff_Start,1,Conrad,Oh işte böyle.
8fc6411ffc04a8f3,L02 Conrad,Conrad_1_JerkOff_Start,2,Conrad,Devam et.
# --- cum: Conrad_1_Cum ---
e51f82fb1e4773ad,L02 Conrad,Conrad_1_Cum,1,Conrad,<size=140%> SİKTİR!
6d721d6e2ad2ae1c,L02 Conrad,Conrad_1_Cum,2,Conrad,<size=100%> Fena iyi hissettirdi!
# --- mount_start: conrad_mount_no ---
b902443f60bdba87,L02 Conrad,conrad_mount_no,1,Conrad,Ooh. Aaa.
ccdcfc48472b3533,L02 Conrad,conrad_mount_no,2,Conrad,"Normalde bineği geri çevirmem ama bu seferlik kalsın"
# --- outro: Conrad_Outro_1 ---
2edaf16ee5b742a8,L02 Conrad,Conrad_Outro_1,1,Conrad,Temizlik fena değildi.
882508b81f97e7cf,L02 Conrad,Conrad_Outro_1,2,Conrad,Ama gittiğim diğer tüm yıkamalarda en azından binek vardı
51335374627e92a3,L02 Conrad,Conrad_Outro_1,3,Kobold,Üzgünüm...
598e348ffe7cc978,L02 Conrad,Conrad_Outro_1,4,Kobold,Söz veriyorum bir tane alacağım!
3eba607f0573bf98,L02 Conrad,Conrad_Outro_1,5,Conrad,Özür dileme! Git bir binek al!
4e52b9a8b0ae1335,L02 Conrad,Conrad_Outro_1,6,Conrad,Kendine saygısı olan tüm temizlikçiler bir ejderi nasıl tatmin edeceğini bilir.
25d0b6008550c533,L02 Conrad,Conrad_Outro_1,7,Kobold,Tamam. Binek sipariş vereceğim.
2e92d12d86bf03a5,L02 Conrad,Conrad_Outro_1,8,Conrad,"İyi. 'Neyse, çıkar beni artık."
426726c5d08284a8,L02 Conrad,Conrad_Outro_1,9,Conrad,"Peki, öyle yapsan iyi olur. Eğer buraya geldiğimde bir tane bile görmezsem..."
28c3830dac3b9c5b,L02 Conrad,Conrad_Outro_1,10,Kobold,Bu bir tehdit mi...?
fac432bdcfb4b753,L02 Conrad,Conrad_Outro_1,11,Conrad,"Aaa, hayır, sadece çok FENA kırılırım."
ee7433c3dd161b65,L02 Conrad,Conrad_Outro_1,12,Conrad,Her neyse- Çıkar beni.

# ===== Level 3: Alexander (Sunny) =====
# --- intro: Alexander_1_intro ---
dbca31128a900488,L03 Alexander,Alexander_1_intro,1,Alexander,"İyi akşamlar. Bu işletme randevusuz da ejder kabul ediyor, doğru mudur?"
a6208f4370193b60,L03 Alexander,Alexander_1_intro,2,Kobold,Evet ediyoruz! Siz... üniversiteden misiniz...?
fdf9d60aca05c19e,L03 Alexander,Alexander_1_intro,4,Alexander,"Öyleyim, sorgucumdan çıkarmış olmalısın! Simya öğretiyorum."
12456a9c2599222e,L03 Alexander,Alexander_1_intro,5,Alexander,... Daha doğrusu yakında bir sınıfa öğretiyor olacağım.
cccd2e909950ad59,L03 Alexander,Alexander_1_intro,6,Alexander,Mükemmel.
f5b90500599eaa0a,L03 Alexander,Alexander_1_intro,7,Alexander,"Çabucak bitmesini istiyorum, öğrenciler kendi başlarına ders veremezler."
26f8788d21d9fd7d,L03 Alexander,Alexander_1_intro,8,Kobold,Vay be... Daha önce hiç öğretmen bir ejderi yıkamamıştım.
7cc55c8bb6442b93,L03 Alexander,Alexander_1_intro,9,Kobold,"Tamam, bariyeri açıyorum!"
c9b9bda16ee1d468,L03 Alexander,Alexander_1_intro,10,Alexander,"Öğretim görevlisi- ama haklısın, herkese açık yerlerde yıkanmaya genelde gitmiyorum."
8569efc4ed5a6273,L03 Alexander,Alexander_1_intro,11,Alexander/Ryan,Teşekkür ederim.
line:836d1b13,L03 Alexander,Alexander_1_intro,11,Alexander,Teşekkür ederim.
57c2b1f349d8b9e9,L03 Alexander,Alexander_1_intro,12,Alexander,"Oh, ayriyetten bu denli pis olduğum için de özür diliyorum."
c44510120d3f5f7e,L03 Alexander,Alexander_1_intro,13,Alexander,Halim pişman olunası...
550840616bc8148d,L03 Alexander,Alexander_1_intro,14,Kobold,O kadar da... pis değilsin.
21e1f6bc71429bdb,L03 Alexander,Alexander_1_intro,15,Kobold,Sorun değil. Senin için yolu açayım!
14ddfac745bc0ec3,L03 Alexander,Alexander_1_intro,16,Alexander,"Hayır, öyleyim."
line:4da86a7a,L03 Alexander,Alexander_1_intro,17,Alexander,...
65b94d53036df4ac,L03 Alexander,Alexander_1_intro,18,Alexander,Bariyeri rica edersem açar mısın?
f602395a77ff68c4,L03 Alexander,Alexander_1_intro,19,Kobold,Oh. Pardon. Üzgünüm.
# --- progress: Alexander_1_required ---
8bb197f659df9e12,L03 Alexander,Alexander_1_required,1,Alexander,Biliyor musun... Bu ortam gayet hoşmuş. Bayağı... proleterya.
c3971608b1a13f1b,L03 Alexander,Alexander_1_required,2,Kobold,pro- <i><size=70%>ney?
3afdda2c098fc834,L03 Alexander,Alexander_1_required,3,Kobold/Alexander/Ryan,Teşekkür ederim!
line:8512365e,L03 Alexander,Alexander_1_required,3,Kobold,Teşekkür ederim!
90d6678c9549b1e0,L03 Alexander,Alexander_1_required,4,Alexander,"Oh, yani... işçi sınıfı?"
55c80016618e1bc5,L03 Alexander,Alexander_1_required,5,Alexander,"Üzgünüm, sadece yıkaman hoşuma gidiyor demek istedim."
02fa2a9691178177,L03 Alexander,Alexander_1_required,6,Alexander,Tabii ki
32e117cdd1f56f3f,L03 Alexander,Alexander_1_required,7,Alexander,Hemen buracıkta halka açık bu tarz yerlerin var olduğunu kim bilebilirdi ki!
# --- jerkoff: alexander_jerk_off_no ---
f33ca08a17779409,L03 Alexander,alexander_jerk_off_no,1,Alexander,<i>Oh.</i> Buna şu anlık hazır olduğumu sanmıyorum.
# --- mount_start: alexander_mount_no ---
170ebd10775afd58,L03 Alexander,alexander_mount_no,1,Alexander,Bunu... bugün kullanmak isteyeceğimden emin değilim.
# --- outro: Alexander_1_Outro ---
d202075090a8960b,L03 Alexander,Alexander_1_Outro,1,Alexander,"Yalan söyleyemeyeceğim, özel bir temizlikçi olarak iyi iş çıkardın."
b6069e62e167364f,L03 Alexander,Alexander_1_Outro,3,Kobold,"Mmmhm, her zaman elimden geleni yaparım."
981447d1952fe850,L03 Alexander,Alexander_1_Outro,4,Alexander,"Haha, 'İvit' tabii ki."
5d7279822bcee7dd,L03 Alexander,Alexander_1_Outro,5,Alexander,Öğrencilerim senin iş etiğinden bir ya da iki şey öğrenebilirler!
8117291ab8529b4f,L03 Alexander,Alexander_1_Outro,6,Alexander,"Gerçekten daha fazla sohbet etmek isterdim ama yakında dersim başlıyor."
dae0c0aa3ae01c37,L03 Alexander,Alexander_1_Outro,7,Alexander,...Yaptıkların için teşekkür ederim.

# ===== Level 4: Ryan (Sunny) =====
# --- intro: Ryan_2_intro ---
7825d92f67bdcdef,L04 Ryan,Ryan_2_intro,1,Ryan,Tekrar merhaba!
cd26586143766826,L04 Ryan,Ryan_2_intro,2,Kobold,"Selam, Ryan!"
6a67a8866ec70c09,L04 Ryan,Ryan_2_intro,4,Ryan,"Hey selam, tekrar uğrayabildiğime mutluyum."
921bd4effdaa2a2f,L04 Ryan,Ryan_2_intro,5,Ryan,Haha... o sesi çıkarmayı seviyor olmalısın.
387d0da740d0826e,L04 Ryan,Ryan_2_intro,6,Ryan,Tekrar yıkanmam lazım.
e542b800ecfc350a,L04 Ryan,Ryan_2_intro,7,Ryan,Birazcık evden uzaklaşmaya çalışıyorum.
78b22bcc76942425,L04 Ryan,Ryan_2_intro,8,Ryan,Bazı arkadaşlarımla takıldım.
21abbb56e463a200,L04 Ryan,Ryan_2_intro,9,Ryan,Keçeli kalemlerle iyi eğlendik...
da3405e1151a476e,L04 Ryan,Ryan_2_intro,10,Ryan,ama sanırım artık temizlenmenin vakti geldi.
41dc14e2cd744b1b,L04 Ryan,Ryan_2_intro,11,Kobold,"Oh, tabii ki. İçeri buyur."
b231225bfcc08d4c,L04 Ryan,Ryan_2_intro,12,Kobold,İyi misin?
056b5511850d7220,L04 Ryan,Ryan_2_intro,13,Ryan,"Tamam, sağ ol."
b4e4d893367947a0,L04 Ryan,Ryan_2_intro,14,Ryan,"Evet, bir şeyim yok. Kusura bakma."
c9cdea9d31e53d5b,L04 Ryan,Ryan_2_intro,15,Ryan,Sadece biraz kötü bir gündü. Buranın iyi geleceğini umuyorum!
line:e9d40a5c,L04 Ryan,Ryan_2_intro,16,Ryan,...
ab74167fe23c9db5,L04 Ryan,Ryan_2_intro,17,Ryan,"Neyse, şey bariyer?"
5cbc0ceea57587db,L04 Ryan,Ryan_2_intro,18,Kobold,Oh- Ha. Hemen açıyorum.
08411b780900fb59,L04 Ryan,Ryan_2_intro,19,Kobold,Tabii ki. Bir saniye!
a386908e3024f35e,L04 Ryan,Ryan_2_intro,20,Ryan,Harika.
# --- progress: Ryan_2_required ---
580684f8909e025d,L04 Ryan,Ryan_2_required,1,Ryan,Hey.
b4eff799a0271863,L04 Ryan,Ryan_2_required,2,Kobold,Hm?
fad448038cd06268,L04 Ryan,Ryan_2_required,3,Kobold,Naber?
a1dd2ff2d1ef6beb,L04 Ryan,Ryan_2_required,4,Ryan,Sana bir soru sorabilir miyim?
2acd4405a7f14ae3,L04 Ryan,Ryan_2_required,5,Kobold,"Zaten sormuş oldun, her şey yolunda mı?"
c10c037156053bfe,L04 Ryan,Ryan_2_required,6,Kobold,Olur.
4f6d869aa239596c,L04 Ryan,Ryan_2_required,7,Ryan,"Oh, doğru. Pardon."
0fa0dff561f86016,L04 Ryan,Ryan_2_required,8,Ryan,"Şey, ilişkilerlerde... ."
9a38b89ed035e464,L04 Ryan,Ryan_2_required,9,Ryan,"Eğer bir ilişki <i>çok</i> inişli çıkışlıysa ve biteceğine eminsen"
9b943020b9ae2658,L04 Ryan,Ryan_2_required,10,Ryan,"onu kurtarmak için her şeyi denediysen"
line:695ef750,L04 Ryan,Ryan_2_required,11,Ryan,...
954ba66a076849a5,L04 Ryan,Ryan_2_required,12,Ryan,o ilişkiye ne zaman son vereceğini nereden bilirsin?
f173e528733bb05a,L04 Ryan,Ryan_2_required,13,Kobold,Ah- Ryan...
7b102f547a549072,L04 Ryan,Ryan_2_required,14,Kobold,Ben... buna cevap verebileceğimden emin değilim.
d74bb8fcbf89b62a,L04 Ryan,Ryan_2_required,15,Ryan,Biliyorum. Sana bunların yükünü boşaltmamam gerekiyor.
64973f6ac9ac08be,L04 Ryan,Ryan_2_required,16,Ryan,"Sadece, yanında olmak çok huzur verici olan birisin."
93fa9e1a16f34a7d,L04 Ryan,Ryan_2_required,17,Ryan,Haklısın... Buna cevap verebilmenin imkanı yok.
797653f5e081152e,L04 Ryan,Ryan_2_required,18,Ryan,"Sadece, burada kötü muamele görmediğime mutluyum."
b11d41e01fefb995,L04 Ryan,Ryan_2_required,20,Kobold,Sağ ol. Seninle olmak benim de hoşuma gidiyor.
c6df1e087ef5d8e4,L04 Ryan,Ryan_2_required,21,Kobold,Umarım işler yoluna girer.
ebb96171ea7628a0,L04 Ryan,Ryan_2_required,22,Ryan/Kobold/Alexander,Sevindim.
line:286fec49,L04 Ryan,Ryan_2_required,22,Ryan,Sevindim.
91c0e3e9014024af,L04 Ryan,Ryan_2_required,23,Ryan,umarım.
# --- outro: Ryan_2_Outro ---
cb57ee6155ed6ca5,L04 Ryan,Ryan_2_Outro,1,Ryan,İşte böyle. Tertemiz oldum.
f6d370e531334fab,L04 Ryan,Ryan_2_Outro,2,Ryan,Biraz önce sana içimi döktüğüm için özür dilerim.
a402a75e0522e087,L04 Ryan,Ryan_2_Outro,3,Kobold,Sorun değil!
94e0ea6f97e24a81,L04 Ryan,Ryan_2_Outro,4,Kobold,Biliyorum hayat bazen sert olabiliyor.
4f66abc45de7ff53,L04 Ryan,Ryan_2_Outro,5,Ryan/Alexander,Çok kibarsın.
line:15f55959,L04 Ryan,Ryan_2_Outro,5,Ryan,Çok kibarsın.
ee65a6c9748b539c,L04 Ryan,Ryan_2_Outro,6,Ryan,Keşke her şey filmlerdeki gibi kolay olsa.
0e95dd9dae12e50e,L04 Ryan,Ryan_2_Outro,7,Kobold,"Tekrar görüşmek üzere, Ryan."
78c778b6ee0575d9,L04 Ryan,Ryan_2_Outro,8,Kobold,"Daha fazla dertleşmek istersen hala vaktim var."
f204fcc6b711621e,L04 Ryan,Ryan_2_Outro,9,Ryan,"Tekrar gelirim, teşekkürler."
72eaafd8ad3f6b0d,L04 Ryan,Ryan_2_Outro,10,Ryan,Emin misin? Çok hoş şeyler... değiller.
fe454a1e25772898,L04 Ryan,Ryan_2_Outro,11,Kobold,Haklısın. Burnumu sokmamam gerekirdi.
513af1a2eeeef9b6,L04 Ryan,Ryan_2_Outro,12,Kobold,"Sorun değil, buna ihtiyacın var gibi duruyor."
f3ff11acd1b54309,L04 Ryan,Ryan_2_Outro,13,Ryan,Sorun değil. Teşekkür ederim gene de.
0b61ba409dc46906,L04 Ryan,Ryan_2_Outro,14,Ryan,"Eh, haklısın."
5459b9d74fb7a529,L04 Ryan,Ryan_2_Outro,15,Ryan,Şimdi. Kız arkadaşım benden önce evdeydi. O aslında evden çalışan bir ejder.
2cd54468954ee8c7,L04 Ryan,Ryan_2_Outro,16,Ryan,Eve biraz kirli gittim. Sonra o da bana bağırdı.
f7e4ec27dd7d6527,L04 Ryan,Ryan_2_Outro,17,Ryan,"Yıkanmaya gitmemi söyledi ve aşırı derecede alıngan davranıyordu."
2880304176197c02,L04 Ryan,Ryan_2_Outro,18,Ryan,Çamurlu olduğuma... <i>bayağı</i> sinirliydi.
250b97243d1df1f7,L04 Ryan,Ryan_2_Outro,19,Kobold,Geldiğin ilk sefer bu yüzden mi buradaydın?
bc78d04f7d5861dc,L04 Ryan,Ryan_2_Outro,20,Kobold,Bana aşırı tepki vermiş gibi geldi.
08a70054f59e703a,L04 Ryan,Ryan_2_Outro,21,Ryan,Yani...
6079131a1c79adef,L04 Ryan,Ryan_2_Outro,22,Ryan,Ama cidden bana çok yardımın dokunuyor.
92536deee525f694,L04 Ryan,Ryan_2_Outro,23,Ryan,Düşünmeme fırsat yarattın.
c3be2f1d3fa4404d,L04 Ryan,Ryan_2_Outro,25,Ryan,Ben de öyle düşündüm.
9ebcf8a46cc189b7,L04 Ryan,Ryan_2_Outro,26,Ryan,Bence başka bir şeye sinirli...
8c3115a4e2a9a664,L04 Ryan,Ryan_2_Outro,27,Ryan,Sadece işte öfkesini benden çıkarması hoşuma gitmiyor.
393d8e5925dc5937,L04 Ryan,Ryan_2_Outro,31,Ryan,Her neyse-
7258b4e037805024,L04 Ryan,Ryan_2_Outro,32,Ryan,Beni dinlediğin için teşekkürler.
951382e00968439d,L04 Ryan,Ryan_2_Outro,33,Kobold,"Her zaman, Ryan."
c41f39341b6c49ef,L04 Ryan,Ryan_2_Outro,34,Kobold,Tabii ki dinleyeceğim. Bütün bunları yaşadığın için üzgünüm.
line:6b245989,L04 Ryan,Ryan_2_Outro,35,Ryan,Çok sağ ol.
553b3b011e56f6e2,L04 Ryan,Ryan_2_Outro,36,Ryan,Üzülme. Bir şekilde hallederim.
bd7468846a30d095,L04 Ryan,Ryan_2_Outro,37,Kobold,Gidip bariyeri açayım sana.
a7f68522a6e41971,L04 Ryan,Ryan_2_Outro,38,Ryan,"Olur, görüşmek üzere!"

# ===== Level 5: Conrad (Rainy) | sets level_5 | ends MedkitCompleted, level_5_complete =====
# --- intro: Conrad_Intro_2 ---
ed1060b120921b51,L05 Conrad,Conrad_Intro_2,1,Conrad,Hiç ilk yardım çantan var mı?
33b8a4a45ccc09d4,L05 Conrad,Conrad_Intro_2,2,Kobold,Neler oldu sana!?
0a1daca6a7ffe060,L05 Conrad,Conrad_Intro_2,3,Kobold,"Yapma ya, Conrad. iyi misin?"
20e5d8710e635ec0,L05 Conrad,Conrad_Intro_2,4,Conrad,Bilmen gerekmiyor.
20e7bf03f9acda80,L05 Conrad,Conrad_Intro_2,5,Conrad,"Şimdi, ilk yardım çantan var mı yok mu?"
b5df9715ed2e91ed,L05 Conrad,Conrad_Intro_2,6,Conrad,İyi mi görünüyorum sence?
b91e8be1b03d1b61,L05 Conrad,Conrad_Intro_2,7,Conrad,Hayır. Görünmüyorum. İlk yardım çantan var mı yok mu şimdi?
f974998c16103aa0,L05 Conrad,Conrad_Intro_2,8,Kobold,"Evet, Bir tane var."
8ca82a3bb03f138c,L05 Conrad,Conrad_Intro_2,9,Kobold,"Var ama sana ne oldu böyle?"
a94b34f629b2029a,L05 Conrad,Conrad_Intro_2,10,Conrad,Sadece... şu bariyeri aç gitsin.
# --- progress: Conrad_required_2 ---
4356fa179bb80e09,L05 Conrad,Conrad_required_2,1,Conrad,Ben tam bir salağım.
d886f3d923f9c796,L05 Conrad,Conrad_required_2,2,Conrad,Bu tam olarak uzak durmam gereken boklardan biriydi!
ea8c1853a7d5966c,L05 Conrad,Conrad_required_2,3,Kobold,Neler olduğunu mu anlatmak istiyorsun...?
bded00d07cb1e457,L05 Conrad,Conrad_required_2,4,Kobold,İncinmiş olduğuna üzgünüm...
02f000041eb5ab82,L05 Conrad,Conrad_required_2,5,Conrad,Hayır be! Yediğim boktan utanıyorum.
line:4810891f,L05 Conrad,Conrad_required_2,6,Conrad,...
58356b98fdf40dc3,L05 Conrad,Conrad_required_2,7,Conrad,Buna burnunu sokmanı istemiyorum!
line:d90d368f,L05 Conrad,Conrad_required_2,8,Conrad,...
cb7847cb63566364,L05 Conrad,Conrad_required_2,9,Conrad,Sadece işte...
b48f291ebc6b18fe,L05 Conrad,Conrad_required_2,10,Conrad,Kendimi sürekli bu durumlara sokmaktan nefret ediyorum.
519b07c299436f2a,L05 Conrad,Conrad_required_2,11,Conrad,Yavaş yavaş suçun <i>bende</i> olduğunu hissettiriyor.
f5ad489eeba50b01,L05 Conrad,Conrad_required_2,12,Kobold,"<i>Bu</i> senin suçun değil, Conrad."
6402f4608ceb7bbb,L05 Conrad,Conrad_required_2,13,Kobold,Yaralandığın için çok üzgünüm. Sana bunu kim yaptı?
